index,X,Y,ID,OD
0,0.0,-0.0,25.0,28.81
1,0.0,-0.101,24.798,28.608
2,0.0,-0.202,24.596,28.406
3,0.0,-0.303,24.394,28.204
4,0.0,-0.404,24.192,28.002
5,0.0,-0.505,23.99,27.8
6,0.0,-0.606,23.788,27.598
7,0.0,-0.707,23.586,27.396
8,0.0,-0.808,23.384,27.194
9,0.0,-0.909,23.182,26.992
10,0.0,-1.01,22.98,26.79
11,0.0,-1.111,22.778,26.588
12,0.0,-1.212,22.576,26.386
13,0.0,-1.313,22.374,26.184
14,0.0,-1.414,22.172,25.982
15,0.0,-1.515,21.97,25.78
16,0.0,-1.616,21.768,25.578
17,0.0,-1.717,21.566,25.376
18,0.0,-1.818,21.364,25.174
19,0.0,-1.919,21.162,24.972
20,0.0,-2.02,20.96,24.77
21,0.0,-2.121,20.758,24.568
22,0.0,-2.222,20.556,24.366
23,0.0,-2.323,20.354,24.164
24,0.0,-2.424,20.152,23.962
25,0.0,-2.525,19.95,23.76
26,0.0,-2.626,19.748,23.558
27,0.0,-2.727,19.546,23.356
28,0.0,-2.828,19.344,23.154
29,0.0,-2.929,19.142,22.952
30,0.0,-3.03,18.94,22.75
31,0.0,-3.131,18.738,22.548
32,0.0,-3.232,18.536,22.346
33,0.0,-3.333,18.334,22.144
34,0.0,-3.434,18.132,21.942
35,0.0,-3.535,17.93,21.74
36,0.0,-3.636,17.728,21.538
37,0.0,-3.737,17.526,21.336
38,0.0,-3.838,17.324,21.134
39,0.0,-3.939,17.122,20.932
40,0.0,-4.04,16.92,20.73
41,0.0,-4.141,16.718,20.528
42,0.0,-4.242,16.516,20.326
43,0.0,-4.343,16.314,20.124
44,0.0,-4.444,16.112,19.922
45,0.0,-4.545,15.91,19.72
46,0.0,-4.646,15.708,19.518
47,0.0,-4.747,15.506,19.316
48,0.0,-4.848,15.304,19.114
49,0.0,-4.949,15.102,18.912
50,0.0,-5.05,14.9,18.71
51,0.0,-5.151,14.698,18.508
52,0.0,-5.252,14.496,18.306
53,0.0,-5.353,14.294,18.104
54,0.0,-5.454,14.092,17.902
55,0.0,-5.555,13.89,17.7
56,0.0,-5.656,13.688,17.498
57,0.0,-5.757,13.486,17.296
58,0.0,-5.858,13.284,17.094
59,0.0,-5.959,13.082,16.892
60,0.0,-6.06,12.88,16.69
61,0.0,-6.161,12.678,16.488
62,0.0,-6.262,12.476,16.286
63,0.0,-6.363,12.274,16.084
64,0.0,-6.464,12.072,15.882
65,0.0,-6.565,11.87,15.68
66,0.0,-6.666,11.668,15.478
67,0.0,-6.767,11.466,15.276
68,0.0,-6.868,11.264,15.074
69,0.0,-6.969,11.062,14.872
70,0.0,-7.07,10.86,14.67
71,0.0,-7.171,10.658,14.468
72,0.0,-7.272,10.456,14.266
73,0.0,-7.373,10.254,14.064
74,0.0,-7.474,10.052,13.862
75,0.0,-7.575,9.85,13.66
76,0.0,-7.676,9.648,13.458
77,0.0,-7.777,9.446,13.256
78,0.0,-7.878,9.244,13.054
79,0.0,-7.979,9.042,12.852
80,0.0,-8.08,8.84,12.65
81,0.0,-8.181,8.638,12.448
82,0.0,-8.282,8.436,12.246
83,0.0,-8.383,8.234,12.044
84,0.0,-8.484,8.032,11.842
85,0.0,-8.585,7.83,11.64
86,0.0,-8.686,7.628,11.438
87,0.0,-8.787,7.426,11.236
88,0.0,-8.888,7.224,11.034
89,0.0,-8.989,7.022,10.832
90,0.0,-9.09,6.82,10.63
91,0.0,-9.191,6.618,10.428
92,0.0,-9.292,6.416,10.226
93,0.0,-9.393,6.214,10.024
94,0.0,-9.494,6.012,9.822
95,0.0,-9.595,5.81,9.62
96,0.0,-9.696,5.608,9.418
97,0.0,-9.797,5.406,9.216
98,0.0,-9.898,5.204,9.014
99,0.0,-9.999,5.002,8.812
